Date,Open,High,Low,Close,Volume
01-01-2024 00:00,42314,42603.2,42289.6,42503.5,8459.477
01-01-2024 01:00,42503.5,42832,42462,42647.9,9043.411
01-01-2024 02:00,42647.9,42676.9,42530,42620.4,4653.067
01-01-2024 03:00,42620.5,42630,42270,42369.8,8119.88
01-01-2024 04:00,42369.8,42439.8,42235.2,42436.6,6356.536
01-01-2024 05:00,42436.6,42440,42207.9,42272.6,4139.557
01-01-2024 06:00,42272.6,42461.3,42239.1,42423.3,3933.019
01-01-2024 07:00,42423.4,42536,42421.7,42527,4455.05
01-01-2024 08:00,42527.1,42597.3,42489.4,42588.2,3673.746
01-01-2024 09:00,42588.2,42734.2,42570,42688.8,5779.875
01-01-2024 10:00,42688.8,42795,42661.1,42727.7,5806.743
01-01-2024 11:00,42727.7,42800,42638,42727.6,5965.038
01-01-2024 12:00,42727.7,42825.2,42651.1,42682,6380.463
01-01-2024 13:00,42682,42787.5,42647.9,42753.9,3269.775
01-01-2024 14:00,42753.8,42755.8,42614.5,42645.6,5333.959
01-01-2024 15:00,42645.5,42887.5,42617.6,42818,8176.63
01-01-2024 16:00,42818,42898.9,42693.1,42759.7,7126.615
01-01-2024 17:00,42759.7,42860.8,42734.8,42847,3411.019
01-01-2024 18:00,42847,43268,42847,43148,18895.526
01-01-2024 19:00,43148,43593.2,43133.3,43556.2,17037.283
01-01-2024 20:00,43556.2,43915.5,43548.5,43753.3,23648.197
01-01-2024 21:00,43753.2,43853,43531.8,43679.8,10536.944
01-01-2024 22:00,43679.7,43723.8,43426,43583.9,6632.907
01-01-2024 23:00,43584,44266,43583.9,44230.2,25589.427
02-01-2024 00:00,44230.3,45376,44200.9,45179.8,59371.002
02-01-2024 01:00,45179.7,45485.7,44750,44926.3,33741.976
02-01-2024 02:00,44926.5,45428,44926.5,45420,18557.82
02-01-2024 03:00,45420,45565,45167.3,45435,18878.543
02-01-2024 04:00,45434.9,45484.4,45193.1,45211.7,11326.594
02-01-2024 05:00,45211.5,45366,45153,45218.2,7931.571
02-01-2024 06:00,45218.2,45346.2,45163.9,45202.9,5712.13
02-01-2024 07:00,45202.9,45832.8,45202.5,45495.5,21647.544
02-01-2024 08:00,45495.6,45905.9,45365,45816.8,27098.848
02-01-2024 09:00,45816.8,45950,45667.7,45730.5,14217.371
02-01-2024 10:00,45730,45772.8,45478,45655.7,13818.668
02-01-2024 11:00,45655.7,45767.6,45258,45486.8,17990.732
02-01-2024 12:00,45486.8,45655,45323.2,45355.1,15529.751
02-01-2024 13:00,45355.1,45760,45316.4,45686.3,14990.782
02-01-2024 14:00,45686.2,45850,45026,45293.6,35837.352
02-01-2024 15:00,45293.5,45359.9,44868.1,45215,32589.488
02-01-2024 16:00,45215,45449.2,44918,45393.4,20683.503
02-01-2024 17:00,45393.4,45423.5,44979.9,45001.2,12326.341
02-01-2024 18:00,45001.3,45308.4,44969.6,45189,10881.297
02-01-2024 19:00,45188.9,45286.9,44783.3,45073.2,15774.741
02-01-2024 20:00,45073.3,45223.1,44762.4,44825.2,15030.281
02-01-2024 21:00,44825.1,45155,44598,45155,16920.986
02-01-2024 22:00,45154.9,45338.9,44871,45006.7,11592.184
02-01-2024 23:00,45006.7,45083.1,44818.1,44979.8,7349.018
03-01-2024 00:00,44979.7,45250.7,44895.8,45168.1,9891.172
03-01-2024 01:00,45168,45379.2,45134.2,45347.8,6424.363
03-01-2024 02:00,45347.8,45463.5,45251.7,45312.7,7116.849
03-01-2024 03:00,45312.6,45346.8,45188,45297.8,3817.468
03-01-2024 04:00,45297.8,45309.7,45144,45218.8,4135.829
03-01-2024 05:00,45218.8,45330,45150,45200,4979.685
03-01-2024 06:00,45200,45405.3,45185,45362.7,5647.505
03-01-2024 07:00,45362.8,45423,44960,45030.4,12284.417
03-01-2024 08:00,45030.5,45240,45023.7,45224.1,9080.312
03-01-2024 09:00,45224.1,45582.3,45207.5,45378.7,14623.762
03-01-2024 10:00,45378.6,45420.9,45061,45175.7,11079.822
03-01-2024 11:00,45175.7,45205.3,43500,43728.9,83422.364
03-01-2024 12:00,43728.9,43738.8,40333,42795.8,174460.87
03-01-2024 13:00,42795.8,42827.1,42310.4,42545.7,33891.828
03-01-2024 14:00,42545.7,42546.4,42062.7,42204.1,27239.337
03-01-2024 15:00,42204.1,43049.9,42194.2,43014,33681.973
03-01-2024 16:00,43014,43595.9,42800,43009.2,49301.886
03-01-2024 17:00,43009.1,43049.8,42595,42914.5,19937.512
03-01-2024 18:00,42914.5,43064.9,41920,42267.6,26553.799
03-01-2024 19:00,42267.6,43040,42163.9,42600.4,25853.536
03-01-2024 20:00,42600.4,42850.4,42517.6,42724.5,8773.483
03-01-2024 21:00,42724.6,42974.5,42585.3,42927.1,11066.029
03-01-2024 22:00,42927.1,42949.2,42600,42753.6,7142.262
03-01-2024 23:00,42753.6,42857.9,42588.1,42849.5,5449.162
04-01-2024 00:00,42849.5,42997.1,42756.5,42883.4,8209.261
04-01-2024 01:00,42883.4,42949.3,42625,42716.6,7899.91
04-01-2024 02:00,42716.6,43236,42700,43151,10196.776
04-01-2024 03:00,43151.1,43229,43013.3,43119.6,6648.483
04-01-2024 04:00,43119.6,43216.2,42966.9,43161.1,5415.558
04-01-2024 05:00,43161.1,43290,43081.6,43191.3,5112.512
04-01-2024 06:00,43191.3,43238.9,43088,43163.7,4665.851
04-01-2024 07:00,43163.8,43268,42765,42775,18904.068
04-01-2024 08:00,42775.1,42978.3,42732.2,42858.7,9499.444
04-01-2024 09:00,42858.7,43102.8,42858.6,43020.6,7880.922
04-01-2024 10:00,43020.7,43123.2,42645.1,43089.5,13891.397
04-01-2024 11:00,43089.6,43255,42942.9,43188.2,10081.485
04-01-2024 12:00,43188.2,43450,43107.4,43386.2,15621.032
04-01-2024 13:00,43386.2,43493.2,43166.6,43344.2,10599.733
04-01-2024 14:00,43344.3,43785.9,43253.3,43674,21012.855
04-01-2024 15:00,43674,44343.1,43609.5,44050.4,42298.085
04-01-2024 16:00,44050.4,44135,43773.4,43913.1,20219.377
04-01-2024 17:00,43913.2,44227.6,43822,43983,17877.904
04-01-2024 18:00,43983,44158,43870,44048.2,7912.437
04-01-2024 19:00,44048.2,44437.5,43904.3,43950,21276.829
04-01-2024 20:00,43950,44840.8,43887.2,44116.7,27243.794
04-01-2024 21:00,44116.6,44633,44116.6,44434.1,17418.736
04-01-2024 22:00,44434.1,44754.6,44130,44311.7,16324.945
04-01-2024 23:00,44311.8,44352.9,44043.4,44143.8,7711.704
05-01-2024 00:00,44143.8,44246.7,43961,44207.5,10046.514
05-01-2024 01:00,44207.4,44284,42300,43374.5,48919.101
05-01-2024 02:00,43373.5,43949.8,43300.8,43506.4,24585.278
05-01-2024 03:00,43506.5,43778.7,43413,43469.1,8943.088
05-01-2024 04:00,43469.5,43632,43193.5,43589.3,12977.039
05-01-2024 05:00,43589.3,43726.4,43510.8,43644.2,6975.411
05-01-2024 06:00,43643.1,43951.7,43573.3,43847.9,9811.778
05-01-2024 07:00,43847.8,43927.8,43713.8,43769.6,7056.237
05-01-2024 08:00,43769.6,43947.1,43758.5,43911.6,6303.286
